KEYCOMP,MUN,CODMUN,ANO,OBT_FEM,OBT_MAS,OBT_TOTAL,POP_FEM,POP_MAS,POP_TOTAL,TX_FEM,TX_MAS,TX_TOTAL
5200052011,ABADIA DE GOIAS,520005,2011,0,2,2,3581,3442,7023,"0,00","58,11","28,48"
5200052012,ABADIA DE GOIAS,520005,2012,0,1,1,3653,3511,7164,"0,00","28,48","13,96"
5200052013,ABADIA DE GOIAS,520005,2013,1,0,1,3853,3714,7567,"25,95","0,00","13,22"
5200052015,ABADIA DE GOIAS,520005,2015,0,1,1,4048,3851,7899,"0,00","25,97","12,66"
5200052017,ABADIA DE GOIAS,520005,2017,1,1,2,4201,3988,8189,"23,80","25,08","24,42"
5200052018,ABADIA DE GOIAS,520005,2018,0,4,4,4286,4054,8340,"0,00","98,67","47,96"
5200052019,ABADIA DE GOIAS,520005,2019,0,1,1,4372,4117,8489,"0,00","24,29","11,78"
5200052020,ABADIA DE GOIAS,520005,2020,0,1,1,4451,4176,8627,"0,00","23,95","11,59"
5200052021,ABADIA DE GOIAS,520005,2021,1,1,2,4451,4716,9167,"22,47","24,95","21,82"
5200102010,ABADIANIA,520010,2010,0,1,1,7668,8089,15757,"0,00","12,36","6,35"
5200102011,ABADIANIA,520010,2011,0,2,2,7830,8258,16088,"0,00","24,22","12,43"
5200102012,ABADIANIA,520010,2012,0,1,1,7985,8423,16408,"0,00","11,87","6,09"
5200102013,ABADIANIA,520010,2013,0,1,1,8388,8938,17326,"0,00","11,19","5,77"
5200102014,ABADIANIA,520010,2014,0,3,3,8577,9124,17701,"0,00","32,88","16,95"
5200102015,ABADIANIA,520010,2015,0,2,2,8759,9311,18070,"0,00","21,48","11,07"
5200102017,ABADIANIA,520010,2017,0,1,1,9064,9671,18735,"0,00","10,34","5,34"
5200102018,ABADIANIA,520010,2018,0,1,1,9229,9846,19075,"0,00","10,16","5,24"
5200102019,ABADIANIA,520010,2019,0,1,1,9387,10018,19405,"0,00","9,98","5,15"
5200102020,ABADIANIA,520010,2020,0,1,1,9546,10185,19731,"0,00","9,82","5,07"
5200102021,ABADIANIA,520010,2021,0,1,1,9546,10185,19731,"0,00","10,82","5,07"
5200132011,ACREUNA,520013,2011,0,1,1,9980,10451,20431,"0,00","9,57","4,89"
5200132013,ACREUNA,520013,2013,0,1,1,10366,11000,21366,"0,00","9,09","4,68"
5200132014,ACREUNA,520013,2014,0,2,2,10438,11110,21548,"0,00","18,00","9,28"
5200132016,ACREUNA,520013,2016,1,0,1,10638,11299,21937,"9,40","0,00","4,56"
5200132017,ACREUNA,520013,2017,0,1,1,10719,11386,22105,"0,00","8,78","4,52"
5200132018,ACREUNA,520013,2018,0,1,1,10803,11472,22275,"0,00","8,72","4,49"
5200132019,ACREUNA,520013,2019,0,2,2,10888,11556,22444,"0,00","17,31","8,91"
5200132020,ACREUNA,520013,2020,3,0,3,10968,11639,22607,"27,35","0,00","13,27"
5200132021,ACREUNA,520013,2021,0,2,2,10968,11639,22607,"0,00","17,18","8,85"
5200152014,ADELANDIA,520015,2014,0,1,1,1239,1316,2555,"0,00","75,99","39,14"
5200152016,ADELANDIA,520015,2016,0,1,1,1264,1298,2562,"0,00","77,04","39,03"
5200172013,AGUA FRIA DE GOIAS,520017,2013,0,1,1,2491,2904,5395,"0,00","34,44","18,54"
5200172015,AGUA FRIA DE GOIAS,520017,2015,0,1,1,2551,2960,5511,"0,00","33,78","18,15"
5200172016,AGUA FRIA DE GOIAS,520017,2016,0,1,1,2596,2970,5566,"0,00","33,67","17,97"
5200172017,AGUA FRIA DE GOIAS,520017,2017,0,1,1,2628,2991,5619,"0,00","33,43","17,80"
5200202014,AGUA LIMPA,520020,2014,1,2,3,946,1063,2009,"105,71","188,15","149,33"
5200252010,AGUAS LINDAS DE GOIAS,520025,2010,0,6,6,79652,79726,159378,"0,00","7,53","3,76"
5200252011,AGUAS LINDAS DE GOIAS,520025,2011,0,5,5,81710,81785,163495,"0,00","6,11","3,06"
5200252012,AGUAS LINDAS DE GOIAS,520025,2012,1,7,8,83699,83778,167477,"1,19","8,36","4,78"
5200252013,AGUAS LINDAS DE GOIAS,520025,2013,1,3,4,88305,89585,177890,"1,13","3,35","2,25"
5200252014,AGUAS LINDAS DE GOIAS,520025,2014,1,7,8,90605,91924,182529,"1,10","7,61","4,38"
5200252015,AGUAS LINDAS DE GOIAS,520025,2015,0,4,4,92877,94200,187077,"0,00","4,25","2,14"
5200252016,AGUAS LINDAS DE GOIAS,520025,2016,1,7,8,94746,96120,190866,"1,06","7,28","4,19"
5200252017,AGUAS LINDAS DE GOIAS,520025,2017,0,14,14,96878,98268,195146,"0,00","14,25","7,17"
5200252018,AGUAS LINDAS DE GOIAS,520025,2018,3,10,13,98962,100379,199341,"3,03","9,96","6,52"
5200252019,AGUAS LINDAS DE GOIAS,520025,2019,3,6,9,101006,102442,203448,"2,97","5,86","4,42"
5200252020,AGUAS LINDAS DE GOIAS,520025,2020,4,10,14,102999,104465,207464,"3,88","9,57","6,75"
5200252021,AGUAS LINDAS DE GOIAS,520025,2021,5,11,16,102999,104465,207464,"4,85","10,53","7,71"
5200302010,ALEXANIA,520030,2010,0,2,2,11804,12010,23814,"0,00","16,65","8,40"
5200302011,ALEXANIA,520030,2011,0,2,2,11947,12157,24104,"0,00","16,45","8,30"
5200302012,ALEXANIA,520030,2012,0,1,1,12086,12297,24383,"0,00","8,13","4,10"
5200302013,ALEXANIA,520030,2013,0,1,1,12508,12960,25468,"0,00","7,72","3,93"
5200302014,ALEXANIA,520030,2014,0,2,2,12669,13137,25806,"0,00","15,22","7,75"
5200302015,ALEXANIA,520030,2015,1,0,1,12820,13317,26137,"7,80","0,00","3,83"
5200302016,ALEXANIA,520030,2016,2,0,2,12950,13513,26463,"15,44","0,00","7,56"
5200302017,ALEXANIA,520030,2017,1,0,1,13091,13681,26772,"7,64","0,00","3,74"
5200302018,ALEXANIA,520030,2018,1,3,4,13229,13848,27077,"7,56","21,66","14,77"
5200302019,ALEXANIA,520030,2019,1,1,2,13364,14014,27378,"7,48","7,14","7,31"
5200302020,ALEXANIA,520030,2020,2,3,5,13495,14178,27673,"14,82","21,16","18,07"
5200302021,ALEXANIA,520030,2021,0,5,5,13495,14178,27673,"0,00","35,27","18,07"
5200502013,ALOANDIA,520050,2013,0,1,1,1029,1060,2089,"0,00","94,34","47,87"
5200502017,ALOANDIA,520050,2017,0,2,2,1012,1073,2085,"0,00","186,39","95,92"
5200502018,ALOANDIA,520050,2018,0,1,1,1006,1071,2077,"0,00","93,37","48,15"
5200502021,ALOANDIA,520050,2021,0,1,1,1006,1071,2077,"0,00","93,37","48,15"
5200552012,ALTO HORIZONTE,520055,2012,0,2,2,2291,2508,4799,"0,00","79,74","41,68"
5200552013,ALTO HORIZONTE,520055,2013,0,3,3,2436,2704,5140,"0,00","110,95","58,37"
5200552019,ALTO HORIZONTE,520055,2019,0,1,1,2890,3165,6055,"0,00","31,60","16,52"
5200552021,ALTO HORIZONTE,520055,2021,0,1,1,2890,3165,6055,"0,00","31,60","16,52"
5200602011,ALTO PARAISO DE GOIAS,520060,2011,0,1,1,3505,3434,6939,"0,00","29,12","14,41"
5200602017,ALTO PARAISO DE GOIAS,520060,2017,0,1,1,3897,3631,7528,"0,00","27,54","13,28"
